benchmark,exec_policy,prefetch,block_size_1d,block_size_2d,num_blocks_1d,block_size_str,total_iterations,size,num_gpu,num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec,speedup,baseline_time
b1m,default,none,32,8,64,"32,8",30,950000000,1,7,-4.9348,6.74397,5.49496,1.24901,1.9388071282556218,2.419
b1m,default,none,32,8,64,"32,8",30,950000000,1,8,-4.9348,6.74849,5.49308,1.25541,1.9289232133426963,2.419
b1m,default,none,32,8,64,"32,8",30,950000000,1,9,-4.9348,6.73214,5.48713,1.24501,1.9450361774303453,2.419
b1m,default,none,32,8,64,"32,8",30,950000000,1,10,-4.9348,6.76881,5.52943,1.23937,1.9538874519010094,2.419
b1m,default,none,32,8,64,"32,8",30,950000000,1,11,-4.9348,6.69038,5.45575,1.23463,1.9613888300645168,2.419
b1m,default,none,32,8,64,"32,8",30,950000000,1,12,-4.9348,6.69643,5.45851,1.23792,1.956176078633962,2.419
b1m,default,none,32,8,64,"32,8",30,950000000,1,13,-4.9348,6.69334,5.45683,1.23651,1.9584067183140887,2.419
b1m,default,none,32,8,64,"32,8",30,950000000,1,14,-4.934801,6.70819,5.45983,1.24836,1.9398166324317938,2.419
b1m,default,none,32,8,64,"32,8",30,950000000,1,15,-4.9348,6.71955,5.47239,1.24716,1.9416830970064418,2.419
b1m,default,none,32,8,64,"32,8",30,950000000,1,16,-4.9348,6.7288,5.48738,1.24142,1.9506609296310307,2.419
b1m,default,none,32,8,64,"32,8",30,950000000,1,17,-4.9348,6.74404,5.48082,1.26322,1.9169974282093016,2.419
b1m,default,none,32,8,64,"32,8",30,950000000,1,18,-4.9348,6.70399,5.46871,1.23528,1.960356754146877,2.419
b1m,default,none,32,8,64,"32,8",30,950000000,1,19,-4.934799,6.69972,5.4574,1.24232,1.9492477713170149,2.419
b1m,default,none,32,8,64,"32,8",30,950000000,1,20,-4.9348,6.83634,5.5844,1.25193,1.9342850568822172,2.419
b1m,default,none,32,8,64,"32,8",30,950000000,1,21,-4.9348,6.72542,5.48285,1.24257,1.9488555906408123,2.419
b1m,default,none,32,8,64,"32,8",30,950000000,1,22,-4.9348,6.81395,5.56521,1.24875,1.939210803813857,2.419
b1m,default,none,32,8,64,"32,8",30,950000000,1,23,-4.9348,6.77786,5.50749,1.27037,1.9062080270020183,2.419
b1m,default,none,32,8,64,"32,8",30,950000000,1,24,-4.9348,6.73626,5.49325,1.24301,1.9481657358046631,2.419
b1m,default,none,32,8,64,"32,8",30,950000000,1,25,-4.9348,6.74124,5.49284,1.2484,1.939754478742834,2.419
b1m,default,none,32,8,64,"32,8",30,950000000,1,26,-4.9348,6.7241,5.48208,1.24203,1.9497028986921041,2.419
b1m,sync,none,32,8,64,"32,8",30,160000000,1,0,-4.9348,1.3249,0.918116,0.406789,1.0112159978524222,0.41283
b1m,sync,none,32,8,64,"32,8",30,160000000,1,1,-4.9348,1.32642,0.920122,0.406299,1.0124355328228447,0.41283
b1m,sync,none,32,8,64,"32,8",30,160000000,1,2,-4.9348,1.3271,0.920175,0.406928,1.0108705828804825,0.41283
b1m,sync,none,32,8,64,"32,8",30,160000000,1,3,-4.9348,1.32681,0.920324,0.406481,1.0119822194650896,0.41283
b1m,sync,none,32,8,64,"32,8",30,160000000,1,4,-4.9348,1.33055,0.918416,0.412134,0.9981014537756872,0.41283
b1m,sync,none,32,8,64,"32,8",30,160000000,1,5,-4.9348,1.33169,0.917887,0.413798,0.9940878026244424,0.41283
b1m,sync,none,32,8,64,"32,8",30,160000000,1,6,-4.9348,1.33243,0.918146,0.41428,0.9929312169315174,0.41283
b1m,sync,none,32,8,64,"32,8",30,160000000,1,7,-4.9348,1.32364,0.917849,0.405787,1.0137129689970081,0.41283
b1m,sync,none,32,8,64,"32,8",30,160000000,1,8,-4.9348,1.32986,0.917339,0.412521,0.9971651008079322,0.41283
b1m,sync,none,32,8,64,"32,8",30,160000000,1,9,-4.9348,1.32394,0.917914,0.406023,1.013123750502777,0.41283
b1m,sync,none,32,8,64,"32,8",30,160000000,1,10,-4.9348,1.33381,0.920418,0.413391,0.9950665218894195,0.41283
b1m,sync,none,32,8,64,"32,8",30,160000000,1,11,-4.9348,1.33469,0.920671,0.414017,0.9935619661762415,0.41283
b1m,sync,none,32,8,64,"32,8",30,160000000,1,12,-4.9348,1.33414,0.920064,0.414081,0.9934084021010118,0.41283
b1m,sync,none,32,8,64,"32,8",30,160000000,1,13,-4.9348,1.33245,0.919624,0.41283,0.996418730592227,0.41283
