benchmark,size,number_GPU,exec_policy,dependency_policy,new_stream_policy,parent_stream_policy,choose_device_heuristic,prefetcher,force_stream_attach,kernel_timing,realloc,reinit,num_blocks,block_size_1d,block_size_2d,block_size_str,total_iterations,cpu_validation,random_init,num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec,speedup,baseline_time
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,0,0.0,0.734988182,0.734988182,0.72535687,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,1,-0.0004447726532816887,12.627792146,12.627792146,0.530319024,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,1,0.0,0.736528703,0.736528703,0.726348199,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,2,-0.0004447725950740278,12.525694576,12.525694576,0.52533945,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,2,0.0,0.733203441,0.733203441,0.724230745,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,3,-0.00044477268238551915,12.514509082,12.514509082,0.522014522,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,3,0.0,0.733569078,0.733569078,0.724802872,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,4,-0.0004447725077625364,12.640919569,12.640919569,0.528883365,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,4,0.0,0.732416029,0.732416029,0.723881743,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,5,-0.0004447725659701973,12.551200097,12.551200097,0.531975647,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,5,0.0,0.7442174,0.7442174,0.729892301,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,6,-0.0004447725077625364,12.560626156,12.560626156,0.528723714,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,6,0.0,0.736083012,0.736083012,0.726945885,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,7,-0.00044477288611233234,12.499001701,12.499001701,0.524621448,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,7,0.0,0.734711362,0.734711362,0.726342576,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,8,-0.0004447727696970105,12.648656071,12.648656071,0.551151121,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,8,0.0,0.73390982,0.73390982,0.725764499,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,9,-0.0004447725950740278,12.536426569,12.536426569,0.531026184,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,9,0.0,0.73526577,0.73526577,0.727446001,,
,18000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,-5,-0.0003489804221317172,15.71358887,15.71358887,0.78246571,,
,18000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,-4,-0.0003489804221317172,15.596995349,15.596995349,0.720014552,,
,18000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,-3,-0.00034898033482022583,15.795471284,15.795471284,0.714626963,,
,18000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,-2,-0.00034898039302788675,15.823670787,15.823670787,0.709596385,,
,18000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,-1,-0.0003489804221317172,16.057669843,16.057669843,0.751223524,,
